,UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
375,TO,17.0,11803.0,Juarina,2193
376,TO,17.0,11902.0,Lagoa da Confusão,13357
377,TO,17.0,11951.0,Lagoa do Tocantins,4316
378,TO,17.0,12009.0,Lajeado,3134
379,TO,17.0,12157.0,Lavandeira,1923
380,TO,17.0,12405.0,Lizarda,3740
381,TO,17.0,12454.0,Luzinópolis,3108
382,TO,17.0,12504.0,Marianópolis do Tocantins,5175
383,TO,17.0,12702.0,Mateiros,2684
384,TO,17.0,12801.0,Maurilândia do Tocantins,3426
385,TO,17.0,13205.0,Miracema do Tocantins,18248
386,TO,17.0,13304.0,Miranorte,13434
387,TO,17.0,13601.0,Monte do Carmo,7947
388,TO,17.0,13700.0,Monte Santo do Tocantins,2279
389,TO,17.0,13809.0,Palmeiras do Tocantins,6658
390,TO,17.0,13957.0,Muricilândia,3551
391,TO,17.0,14203.0,Natividade,9244
392,TO,17.0,14302.0,Nazaré,3898
393,TO,17.0,14880.0,Nova Olinda,11819
394,TO,17.0,15002.0,Nova Rosalândia,4260
395,TO,17.0,15101.0,Novo Acordo,4342
396,TO,17.0,15150.0,Novo Alegre,2332
397,TO,17.0,15259.0,Novo Jardim,2722
398,TO,17.0,15507.0,Oliveira de Fátima,1112
399,TO,17.0,15705.0,Palmeirante,6026
400,TO,17.0,15754.0,Palmeirópolis,7659
401,TO,17.0,16109.0,Paraíso do Tocantins,51252
402,TO,17.0,16208.0,Paranã,10449
403,TO,17.0,16307.0,Pau D'Arco,4849
404,TO,17.0,16505.0,Pedro Afonso,13578
405,TO,17.0,16604.0,Peixe,11749
406,TO,17.0,16653.0,Pequizeiro,5477
407,TO,17.0,16703.0,Colméia,8205
408,TO,17.0,17008.0,Pindorama do Tocantins,4447
409,TO,17.0,17206.0,Piraquê,3028
410,TO,17.0,17503.0,Pium,7654
411,TO,17.0,17800.0,Ponte Alta do Bom Jesus,4596
412,TO,17.0,17909.0,Ponte Alta do Tocantins,8039
413,TO,17.0,18006.0,Porto Alegre do Tocantins,3139
414,TO,17.0,18204.0,Porto Nacional,53010
415,TO,17.0,18303.0,Praia Norte,8432
416,TO,17.0,18402.0,Presidente Kennedy,3684
417,TO,17.0,18451.0,Pugmil,2688
418,TO,17.0,18501.0,Recursolândia,4293
419,TO,17.0,18550.0,Riachinho,4645
420,TO,17.0,18659.0,Rio da Conceição,2130
421,TO,17.0,18709.0,Rio dos Bois,2834
422,TO,17.0,18758.0,Rio Sono,6478
423,TO,17.0,18808.0,Sampaio,4711
424,TO,17.0,18840.0,Sandolândia,3375
425,TO,17.0,18865.0,Santa Fé do Araguaia,7512
426,TO,17.0,18881.0,Santa Maria do Tocantins,3434
427,TO,17.0,18899.0,Santa Rita do Tocantins,2365
428,TO,17.0,18907.0,Santa Rosa do Tocantins,4829
429,TO,17.0,19004.0,Santa Tereza do Tocantins,2866
430,TO,17.0,20002.0,Santa Terezinha do Tocantins,2529
431,TO,17.0,20101.0,São Bento do Tocantins,5324
432,TO,17.0,20150.0,São Félix do Tocantins,1585
433,TO,17.0,20200.0,São Miguel do Tocantins,12139
434,TO,17.0,20259.0,São Salvador do Tocantins,3082
435,TO,17.0,20309.0,São Sebastião do Tocantins,4805
436,TO,17.0,20499.0,São Valério,3960
437,TO,17.0,20655.0,Silvanópolis,5403
438,TO,17.0,20804.0,Sítio Novo do Tocantins,9029
439,TO,17.0,20853.0,Sucupira,1966
440,TO,17.0,20903.0,Taguatinga,16683
441,TO,17.0,20937.0,Taipas do Tocantins,2148
442,TO,17.0,20978.0,Talismã,2793
443,TO,17.0,21000.0,Palmas,299127
444,TO,17.0,21109.0,Tocantínia,7545
445,TO,17.0,21208.0,Tocantinópolis,22870
446,TO,17.0,21257.0,Tupirama,1891
447,TO,17.0,21307.0,Tupiratins,2671
448,TO,17.0,22081.0,Wanderlândia,11683
449,TO,17.0,22107.0,Xambioá,11540
450,MA,21.0,55.0,Açailândia,112445
451,MA,21.0,105.0,Afonso Cunha,6524
452,MA,21.0,154.0,Água Doce do Maranhão,12571
453,MA,21.0,204.0,Alcântara,22097
454,MA,21.0,303.0,Aldeias Altas,26532
455,MA,21.0,402.0,Altamira do Maranhão,8128
456,MA,21.0,436.0,Alto Alegre do Maranhão,27053
457,MA,21.0,477.0,Alto Alegre do Pindaré,31919
458,MA,21.0,501.0,Alto Parnaíba,11190
459,MA,21.0,550.0,Amapá do Maranhão,6962
460,MA,21.0,600.0,Amarante do Maranhão,41435
461,MA,21.0,709.0,Anajatuba,26803
462,MA,21.0,808.0,Anapurus,15732
463,MA,21.0,832.0,Apicum-Açu,17239
464,MA,21.0,873.0,Araguanã,15426
465,MA,21.0,907.0,Araioses,46440
466,MA,21.0,956.0,Arame,32701
467,MA,21.0,1004.0,Arari,29848
468,MA,21.0,1103.0,Axixá,12130
469,MA,21.0,1202.0,Bacabal,104949
470,MA,21.0,1251.0,Bacabeira,17055
471,MA,21.0,1301.0,Bacuri,18582
472,MA,21.0,1350.0,Bacurituba,5644
473,MA,21.0,1400.0,Balsas,94887
474,MA,21.0,1509.0,Barão de Grajaú,18820
475,MA,21.0,1608.0,Barra do Corda,88212
476,MA,21.0,1707.0,Barreirinhas,62528
477,MA,21.0,1731.0,Belágua,7469
478,MA,21.0,1772.0,Bela Vista do Maranhão,11209
479,MA,21.0,1806.0,Benedito Leite,5632
480,MA,21.0,1905.0,Bequimão,21280
481,MA,21.0,1939.0,Bernardo do Mearim,6043
482,MA,21.0,1970.0,Boa Vista do Gurupi,9287
483,MA,21.0,2002.0,Bom Jardim,41630
484,MA,21.0,2036.0,Bom Jesus das Selvas,34028
485,MA,21.0,2077.0,Bom Lugar,16294
486,MA,21.0,2101.0,Brejo,36397
487,MA,21.0,2150.0,Brejo de Areia,9188
